LifeCurriculum - Unit Economics Model
,,,,,
CUSTOMER ACQUISITION COST (CAC),,,,,
,,,,,
Marketing Channel,Monthly Spend,Conversions,CAC,% of Budget,
Paid Social (Facebook/Instagram),$5000,50,$100,33%,
Google Ads (Search),$4000,30,$133,27%,
Content Marketing/SEO,$3000,40,$75,20%,
Influencer Partnerships,$2000,25,$80,13%,
Referral Program,$1000,20,$50,7%,
Total/Blended,$15000,165,$91,100%,
,,,,,
CAC BY TIER,,,,,
Tier,Blended CAC,Tier-Specific CAC,Notes,,
Spark,$91,$75,Lower intent - broader targeting,,
Pathway,$91,$120,Higher intent - specific keywords,,
Architect,$91,$500,Direct sales/consultative,,
,,,,,
LIFETIME VALUE (LTV),,,,,
,,,,,
Tier,Monthly Price,Avg Lifetime (Months),Gross Margin,LTV,
Spark,$29,8,75%,$174,
Pathway,$149,14,80%,$1667,
Architect,$417,24,85%,$8502,
,,,,,
LTV:CAC RATIO,,,,,
Tier,LTV,CAC,LTV:CAC,Target,Status
Spark,$174,$75,2.3:1,3:1,Needs Improvement
Pathway,$1667,$120,13.9:1,3:1,Excellent
Architect,$8502,$500,17.0:1,3:1,Excellent
Blended,$1049,$91,11.5:1,3:1,Excellent
,,,,,
PAYBACK PERIOD,,,,,
Tier,CAC,Monthly Contribution,Payback (Months),Target,
Spark,$75,$21.75,3.4,<6 months,Good
Pathway,$120,$119.20,1.0,<6 months,Excellent
Architect,$500,$354.45,1.4,<12 months,Excellent
,,,,,
MONTHLY CONTRIBUTION MARGIN,,,,,
Tier,Price,COGS,Gross Profit,Margin %,
Spark,$29,$7.25,$21.75,75%,
Pathway,$149,$29.80,$119.20,80%,
Architect,$417,$62.55,$354.45,85%,
,,,,,
COGS BREAKDOWN (Per User/Month),,,,,
Cost Item,Spark,Pathway,Architect,Notes,
OpenAI API Calls,$3.00,$12.00,$25.00,Based on usage,
Infrastructure,$1.50,$3.00,$5.00,Hosting/DB,
Support,$1.00,$5.00,$15.00,Tiered support,
Content Delivery,$0.75,$2.80,$7.55,CDN/Storage,
Payment Processing,$1.00,$7.00,$10.00,~3% of price,
Total COGS,$7.25,$29.80,$62.55,,
,,,,,
KEY METRICS SUMMARY,,,,,
Metric,Current,Target,Status,,
Blended CAC,$91,<$100,On Target,,
Blended LTV,$1049,>$500,Exceeds,,
LTV:CAC Ratio,11.5:1,>3:1,Exceeds,,
Payback Period,1.9 months,<6 months,Exceeds,,
Gross Margin,78%,>70%,On Target,,
