LifeCurriculum - Cash Flow Projection (24 Months)
,,,,,,,,,,,,,
ASSUMPTIONS,,,,,,,,,,,,,
Starting Cash,$500000,,,,,,,,,,,,
Seed Funding (Month 1),$500000,,,,,,,,,,,,
Series A (Month 12),$2000000,,,,,,,,,,,,
Monthly OpEx Growth,3%,,,,,,,,,,,,
,,,,,,,,,,,,,
CASH FLOW STATEMENT,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
,,,,,,,,,,,,,
CASH INFLOWS,,,,,,,,,,,,,
Subscription Revenue,$3357,$7007,$10981,$15723,$21174,$27034,$33899,$41530,$49985,$59710,$70374,$82574
Seed Funding,$500000,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0
Series A,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$2000000
Total Inflows,$503357,$7007,$10981,$15723,$21174,$27034,$33899,$41530,$49985,$59710,$70374,$2082574
,,,,,,,,,,,,,
CASH OUTFLOWS,,,,,,,,,,,,,
Personnel,$90625,$93344,$96144,$99029,$102000,$105060,$108212,$111458,$114802,$118246,$121794,$125448
Technology,$13000,$13390,$13792,$14205,$14632,$15071,$15523,$15988,$16468,$16962,$17471,$17995
Marketing,$17000,$17510,$18035,$18576,$19134,$19708,$20299,$20908,$21535,$22181,$22847,$23532
G&A,$5300,$5459,$5623,$5791,$5965,$6144,$6329,$6518,$6714,$6915,$7123,$7337
Total Outflows,$125925,$129703,$133594,$137601,$141730,$145983,$150363,$154873,$159519,$164304,$169235,$174312
,,,,,,,,,,,,,
NET CASH FLOW,$377432,-$122696,-$122613,-$121878,-$120556,-$118949,-$116464,-$113343,-$109534,-$104594,-$98861,$1908262
,,,,,,,,,,,,,
CUMULATIVE CASH,,,,,,,,,,,,,
Beginning Cash,$500000,$877432,$754736,$632123,$510245,$389689,$270740,$154276,$40933,-$68601,-$173195,-$272056
Net Cash Flow,$377432,-$122696,-$122613,-$121878,-$120556,-$118949,-$116464,-$113343,-$109534,-$104594,-$98861,$1908262
Ending Cash,$877432,$754736,$632123,$510245,$389689,$270740,$154276,$40933,-$68601,-$173195,-$272056,$1636206
,,,,,,,,,,,,,
RUNWAY ANALYSIS,,,,,,,,,,,,,
Monthly Burn Rate,$125925,$129703,$133594,$137601,$141730,$145983,$150363,$154873,$159519,$164304,$169235,$174312
Months of Runway,7.0,5.8,4.7,3.7,2.7,1.9,1.0,0.3,N/A,N/A,N/A,9.4
,,,,,,,,,,,,,
KEY METRICS,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
Burn Multiple,37.5x,18.5x,12.2x,8.8x,6.7x,5.4x,4.4x,3.7x,3.2x,2.8x,2.4x,2.1x
Revenue Growth,-,109%,57%,43%,35%,28%,25%,22%,20%,19%,18%,17%
,,,,,,,,,,,,,
YEAR 2 SUMMARY,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
Revenue,$96234,$112094,$130435,$151865,$176866,$205935,$239737,$279067,$324839,$378138,$440211,$512446
Operating Expenses,$179541,$184927,$190475,$196189,$202075,$208137,$214382,$220813,$227437,$234260,$241288,$248527convergence
Net Cash Flow,-$83307,-$72833,-$60040,-$44324,-$25209,-$2202,$25355,$58254,$97402,$143878,$198923,$263919
Ending Cash,$1552899,$1480066,$1420026,$1375702,$1350493,$1348291,$1373646,$1431900,$1529302,$1673180,$1872103,$2136022
,,,,,,,,,,,,,
BREAK-EVEN ANALYSIS,,,,,,,,,,,,,
Projected Break-Even Month,Month 18,,,,,,,,,,,,
Revenue at Break-Even,$205935,,,,,,,,,,,,
Subscribers at Break-Even,~2100,,,,,,,,,,,,
,,,,,,,,,,,,,
FUNDING MILESTONES,,,,,,,,,,,,,
Milestone,Target Month,Cash Required,Purpose,,,,,,,,,
Seed Close,Month 1,$500000,MVP + Initial Traction,,,,,,,,,
Series A,Month 12,$2000000,Scale Marketing + Team,,,,,,,,,
Break-Even,Month 18,$0,Self-Sustaining,,,,,,,,,
Series B (Optional),Month 24,$5000000,Market Expansion,,,,,,,,,
