LifeCurriculum - Investor Financials Summary
,,,,,
MARKET OPPORTUNITY,,,,,
,,,,,
Market Size Analysis,Value,Source,Notes,,
Total Addressable Market (TAM),$12B,IBISWorld,US K-12 Supplemental Education,,
Serviceable Addressable Market (SAM),$3B,Internal Analysis,Parents seeking alternatives,,
Serviceable Obtainable Market (SOM),$300M,Internal Analysis,Interest-first education niche,,
,,,,,
Market Growth Drivers,,,,,
- 73% of parents dissatisfied with traditional education outcomes,,,,,
- Homeschool market grew 30% during 2020-2023,,,,,
- EdTech adoption accelerated post-pandemic,,,,,
- Increasing focus on personalized learning,,,,,
,,,,,
BUSINESS MODEL,,,,,
,,,,,
Revenue Streams,Price,Margin,% of Revenue,,
Spark (Entry Tier),$29/mo,75%,22%,,
Pathway (Core Tier),$149/mo,80%,55%,,
Architect (Premium),$5000/yr,85%,23%,,
,,,,,
Key Metrics (Year 1 Targets),Target,Current,Status,,
Monthly Recurring Revenue,$83K,$3K,Building,,
Annual Recurring Revenue,$1M,-,Building,,
Total Subscribers,1500,0,Building,,
Net Revenue Retention,110%,-,Building,,
Gross Margin,78%,78%,On Target,,
,,,,,
FINANCIAL PROJECTIONS,,,,,
,,,,,
Revenue Forecast,Year 1,Year 2,Year 3,Year 4,Year 5
Annual Revenue,$506K,$2.0M,$6.5M,$18M,$42M
Growth Rate,-,295%,225%,177%,133%
Subscribers (EOY),1444,5765,15000,35000,70000
,,,,,
Profitability Timeline,Year 1,Year 2,Year 3,Year 4,Year 5
Gross Profit,$395K,$1.6M,$5.2M,$14.4M,$33.6M
Operating Expenses,$1.5M,$2.4M,$4.0M,$8.0M,$14.0M
EBITDA,-$1.1M,-$0.8M,$1.2M,$6.4M,$19.6M
EBITDA Margin,-217%,-40%,18%,36%,47%
,,,,,
UNIT ECONOMICS,,,,,
,,,,,
Metric,Current,Target,Industry Avg,,
Customer Acquisition Cost (CAC),$91,<$100,$120,,
Lifetime Value (LTV),$1049,>$800,$600,,
LTV:CAC Ratio,11.5:1,>3:1,3:1,,
Payback Period,1.9 mo,<6 mo,8 mo,,
Monthly Churn,5%,<5%,7%,,
,,,,,
FUNDING REQUEST,,,,,
,,,,,
Current Round: Seed,,,,,
Amount Raising,$500000,,,,,
Pre-Money Valuation,$2000000,,,,,
Post-Money Valuation,$2500000,,,,,
Equity Offered,20%,,,,,
,,,,,
Use of Funds,Amount,%,Timeline,,
Product Development,$200000,40%,Months 1-12,,
Marketing & Growth,$150000,30%,Months 3-12,,
Team Expansion,$100000,20%,Months 6-12,,
Operations & Legal,$50000,10%,Months 1-12,,
Total,$500000,100%,,,
,,,,,
MILESTONES & TRACTION,,,,,
,,,,,
Milestone,Target Date,Metric,Funding Unlocked,,
MVP Launch,Month 1,Product Live,-,,
First 100 Paying Users,Month 3,100 subscribers,-,,
Product-Market Fit,Month 6,500 subscribers,-,,
Series A Ready,Month 12,1500 subscribers,$2M Series A,,
Break-Even,Month 18,~2100 subscribers,-,,
,,,,,
KEY ASSUMPTIONS,,,,,
,,,,,
Assumption,Value,Sensitivity,,Impact if Wrong,
Monthly Growth Rate,15%,High,,Revenue -30% if 10%,
Churn Rate,5%,Medium,,LTV -20% if 7%,
CAC,91,Medium,,Runway -15% if $120,
Conversion Rate,2%,High,,CAC +50% if 1.5%,
,,,,,
COMPETITIVE ADVANTAGE,,,,,
,,,,,
Differentiator,Description,Defensibility,,,
Interest-First Approach,Unique pedagogical model,Medium - replicable,,,
AI-Powered Personalization,GPT-4 integration,Low - commoditizing,,,
Digital Twin Profile,Comprehensive learner profile,High - data moat,,,
Verified Portfolio,College-ready documentation,High - network effects,,,
,,,,,
TEAM,,,,,
,,,,,
Role,Background,Equity,,,
CEO/Co-Founder,EdTech + Product,25%,,,
CTO/Co-Founder,Engineering + AI,25%,,,
Advisors,Education + VC,5%,,,
Employee Pool,-,25%,,,
Available for Investors,-,20%,,,
